,words,fdc_id,weight
398,udi,167600,0.5
399,gluten,167600,0.5
400,free,167600,0.5
401,grain,167600,0.5
402,rolls,167600,0.5
403,van,167601,0.5
404,gluten,167601,0.5
405,free,167601,0.5
406,totally,167601,0.5
407,pancakes,167601,0.5
408,seaweed,167602,1.5
409,canadian,167602,1.5
410,cultivated,167602,1.5
411,emi,167602,1.5
412,tsunomata,167602,1.5
413,dry,167602,1.5
414,seaweed,167603,1.5
415,canadian,167603,1.5
416,cultivated,167603,1.5
417,emi,167603,1.5
418,tsunomata,167603,1.5
419,rehydrated,167603,1.5
420,potatoes,167604,1.5
421,hash,167604,1.5
422,brown,167604,1.5
423,potatoes,167605,1.5
424,hash,167605,1.5
425,brown,167605,1.5
426,pan,167605,1.5
427,fried,167605,1.5
428,canola,167605,1.5
429,oil,167605,1.5
430,sweet,167606,1.5
431,potatoes,167606,1.5
432,french,167606,1.5
433,fried,167606,1.5
434,as,167606,1.5
435,packaged,167606,1.5
436,salt,167606,1.5
437,processing,167606,1.5
438,moose,167607,0.5
439,meat,167607,0.5
440,mashu,167608,0.5
441,roots,167608,0.5
442,moose,167609,0.5
443,liver,167609,0.5
444,braised,167609,0.5
445,seal,167610,0.5
446,bearded,167610,0.5
447,oogruk,167610,0.5
448,meat,167610,0.5
449,oil,167611,0.5
450,bearded,167611,0.5
451,seal,167611,0.5
452,oogruk,167611,0.5
453,oopah,167612,0.5
454,tunicate,167612,0.5
455,animal,167612,0.5
456,owl,167613,0.5
457,horned,167613,0.5
458,flesh,167613,0.5
459,fish,167614,0.5
460,salmon,167614,0.5
461,king,167614,0.5
462,chinook,167614,0.5
463,smoked,167614,0.5
464,canned,167614,0.5
465,fish,167615,0.5
466,salmon,167615,0.5
467,king,167615,0.5
468,chinook,167615,0.5
469,smoked,167615,0.5
470,brined,167615,0.5
471,fish,167616,0.5
472,salmon,167616,0.5
473,king,167616,0.5
474,chinook,167616,0.5
475,liver,167616,0.5
476,duck,167617,0.5
477,scoter,167617,0.5
478,white,167617,0.5
479,winged,167617,0.5
480,meat,167617,0.5
481,sea,167618,0.5
482,cucumber,167618,0.5
483,yane,167618,0.5
484,squirrel,167619,0.5
485,ground,167619,0.5
486,meat,167619,0.5
487,tea,167620,0.5
488,tundra,167620,0.5
489,herb,167620,0.5
490,laborador,167620,0.5
491,combination,167620,0.5
492,walrus,167621,0.5
493,meat,167621,0.5
494,dried,167621,0.5
495,deer,167622,0.5
496,venison,167622,0.5
497,sitka,167622,0.5
498,whale,167623,0.5
499,bowhead,167623,0.5
500,subcutaneous,167623,0.5
501,fat,167623,0.5
502,blubber,167623,0.5
503,whale,167624,0.5
504,bowhead,167624,0.5
505,skin,167624,0.5
506,subcutaneous,167624,0.5
507,fat,167624,0.5
508,muktuk,167624,0.5
509,oil,167625,0.5
510,whale,167625,0.5
511,bowhead,167625,0.5
512,fish,167626,0.5
513,whitefish,167626,0.5
514,broad,167626,0.5
515,liver,167626,0.5
516,mush,167627,0.5
517,blue,167627,0.5
518,corn,167627,0.5
519,ash,167627,0.5
520,navajo,167627,0.5
521,cornmeal,167628,0.5
522,blue,167628,0.5
523,navajo,167628,0.5
